run_number,language,server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate
3,cpp,8,20,10000,20,20,200000,200000,0.8205994251550001,0.9089706852999949,0.39691117210000204,0,164119.885031,100.0
3,cpp,8,30,1,30,30,30,30,0.9112627333333333,4.266169,0.19125,0,27.337882,100.0
3,cpp,8,30,10,30,30,300,300,0.84577372,1.9067891,0.27686580000000005,0,253.732116,100.0
3,cpp,8,30,100,30,30,3000,3000,0.9808004563333335,1.19456957,0.7510953600000002,0,2942.401369,100.0
3,cpp,8,30,500,30,30,15000,15000,1.0994239577999998,1.2200962820000016,0.5281754579999997,0,16491.359366999997,100.0
3,cpp,8,30,1000,30,30,30000,30000,1.0893440868333333,1.3262618689999979,0.6802627189999991,0,32680.322604999998,100.0
3,cpp,8,30,10000,30,30,300000,300000,1.3717602482133322,1.5219438113999946,0.9872032375000008,0,411528.0744639997,100.0
3,cpp,8,40,1,40,40,40,40,1.4861895999999999,5.601922,0.160163,0,59.447584,100.0
3,cpp,8,40,10,40,40,400,400,1.17010331,1.8796965,0.5108178,0,468.041324,100.0
3,cpp,8,40,100,40,40,4000,4000,1.239332318,1.4926312800000003,0.6305060300000002,0,4957.329272,100.0
3,cpp,8,40,500,40,40,20000,20000,1.4435572443500002,1.7621536899999992,0.656789136,0,28871.144887000002,100.0
3,cpp,8,40,1000,40,40,40000,40000,1.7833141503500003,1.965802684000001,1.1712556879999998,0,71332.56601400001,100.0
3,cpp,8,40,10000,40,40,400000,400000,1.8154043486549984,2.019284098999997,1.1045054370999998,0,726161.7394619994,100.0
3,cpp,8,50,1,50,50,50,50,1.2437308999999999,4.848821,0.192344,0,62.186544999999995,100.0
3,cpp,8,50,10,50,50,500,500,1.004854462,1.7164009,0.2768206,0,502.427231,100.0
3,cpp,8,50,100,50,50,5000,5000,1.568742459,1.939182309999999,0.7521295899999998,0,7843.712294999999,100.0
3,cpp,8,50,500,50,50,25000,25000,2.00809650124,2.3773284679999964,1.0405839459999995,0,50202.41253099999,100.0
3,cpp,8,50,1000,50,50,50000,50000,2.1832523890799997,2.436326679999999,1.2536038790000008,0,109162.61945399999,100.0
3,cpp,8,50,10000,50,50,500000,500000,2.295059828023999,2.493219051700002,1.5899278055999975,0,1147529.9140119993,100.0
3,cpp,8,60,1,60,60,60,60,1.9843561666666667,9.148929,0.163495,0,119.06137,100.0
3,cpp,8,60,10,60,60,600,600,2.3032337966666665,4.4134882,0.5305468,0,1381.940278,100.0
3,cpp,8,60,100,60,60,6000,6000,1.627526704,2.064332689999999,1.1242013999999998,0,9765.160224000001,100.0
3,cpp,8,60,500,60,60,30000,30000,2.7242065945000005,3.168228936,1.405171855999998,0,81726.19783500001,100.0
3,cpp,8,60,1000,60,60,60000,60000,2.5028114801499997,2.743766425999997,1.737269649999999,0,150168.68880899998,100.0
3,cpp,8,60,10000,60,60,600000,600000,2.549456875726666,2.764311233599993,0.7551635076999988,0,1529674.1254359996,100.0
3,cpp,8,70,1,70,70,70,70,0.7014559285714286,3.217251,0.229443,0,49.101915,100.0
3,cpp,8,70,10,70,70,700,700,1.3153310971428571,2.6685922,0.1855079,0,920.731768,100.0
3,cpp,8,70,100,70,70,7000,7000,1.9965742440000003,2.6304638199999992,0.4759092000000003,0,13976.019708,100.0
3,cpp,8,70,500,70,70,35000,35000,3.1195836352857143,3.5180688519999985,1.899855348,0,109185.427235,100.0
3,cpp,8,70,1000,70,70,70000,70000,2.538335294371428,2.840205265999999,2.083338481,0,177683.47060599996,100.0
3,cpp,8,70,10000,70,70,700000,700000,3.13484205068,3.3324540829000027,2.757685074399993,0,2194389.435476,100.0
3,cpp,8,80,1,80,80,80,80,1.8325322624999998,11.591322,0.223636,0,146.602581,100.0
3,cpp,8,80,10,80,80,800,800,1.4228902187499999,3.1390479,0.4309010000000001,0,1138.312175,100.0
3,cpp,8,80,100,80,80,8000,8000,2.2743408227499997,2.9421820400000005,1.5469121200000007,0,18194.726582,100.0
3,cpp,8,80,500,80,80,40000,40000,3.5395467269500003,4.185002333999996,1.7238008219999985,0,141581.869078,100.0
3,cpp,8,80,1000,80,80,80000,80000,2.959377285425,3.284403220999998,2.3835807219999996,0,236750.18283399998,100.0
3,cpp,8,80,10000,80,80,800000,800000,2.958550195559999,3.3073488719999964,2.4188097635,0,2366840.156447999,100.0
3,cpp,8,90,1,90,90,90,90,1.7113426,6.365803,0.166059,0,154.020834,100.0
3,cpp,8,90,10,90,90,900,900,2.5476240511111112,6.662400200000002,0.23193610000000003,0,2292.861646,100.0
