run_number,language,server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate,language
7,go,8,70,100,70,70,7000,7000,1.0834248364285715,1.2508814200000002,0.71290817,0,7583.973855,100.0,go
7,go,8,70,500,70,70,35000,35000,1.1008983101142857,1.1854302320000007,0.954871296,0,38531.440854,100.0,go
7,go,8,70,1000,70,70,70000,70000,1.1349547228285715,1.1967709439999985,1.0354955949999993,0,79446.830598,100.0,go
7,go,8,70,10000,70,70,700000,700000,1.1015034952314278,1.1447141460999977,0.8286101412000009,0,771052.4466619996,100.0,go
7,go,8,80,1,80,80,80,80,1.4651033125,3.819044,0.109135,0,117.208265,100.0,go
7,go,8,80,10,80,80,800,800,1.5557820387499999,2.5144056000000004,0.2095005,0,1244.625631,100.0,go
7,go,8,80,100,80,80,8000,8000,1.2457171362500001,1.4371638299999996,0.9661460400000002,0,9965.73709,100.0,go
7,go,8,80,500,80,80,40000,40000,1.2178880452,1.3033379620000016,1.082571428,0,48715.521808000005,100.0,go
7,go,8,80,1000,80,80,80000,80000,1.2328483123000002,1.2985327259999984,0.9943642039999991,0,98627.86498400001,100.0,go
7,go,8,80,10000,80,80,800000,800000,1.2279328572449992,1.2773460926999947,1.0189559849000023,0,982346.2857959995,100.0,go
7,go,8,90,1,90,90,90,90,1.5908964777777777,7.606339,0.069767,0,143.180683,100.0,go
7,go,8,90,10,90,90,900,900,1.2492670866666666,2.3185360000000004,0.20616600000000002,0,1124.340378,100.0,go
7,go,8,90,100,90,90,9000,9000,1.4119106607777778,1.7209851900000006,0.89490916,0,12707.195947,100.0,go
